Title,buy_box_availability,rating_numeric,review_count,monthly_demand,current_price,listed_price_clean,is_sponsored_clean,has_coupon,has_bestseller_badge
"Anker iPhone 16 Charger, 2-Pack 20W Fast USB C Charger Block, for iPhone 16/16 Pro Max/15 Series/iPad Pro and More (Black, 2 Pack & 2 Cable)",Add to cart,4.6,19724.0,10000.0,11.89,18.99,Organic,0,0
"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity",Add to cart,4.7,7235.0,500.0,69.95,,Sponsored,0,0
Escort MAX 360c Radar Detector with Extra Mount & OBDII Cord Bundle,Add to cart,4.4,1465.0,50.0,569.95,,Sponsored,0,0
"HP Printer Paper | 8.5 x 11 Paper | Office 20 lb | 3 Ream Case - 1500 Sheets | 92 Bright | Made in USA - FSC Certified | 112090C, White",Add to cart,4.8,48326.0,40000.0,19.99,21.44,Organic,0,0
"Amazon Basics 9 inch Thermal Laminator Machine for Documents and Photos, Easy to Use for Home Office or School, White",Add to cart,4.6,2740.0,40000.0,20.69,29.99,Organic,0,1
"HP 936 Black, Cyan, Magenta, Yellow Ink Cartridges Printers (4-Pack) | Works with OfficeJet 9120, OfficeJet Pro 9110, 9120, 9130, Wide Format 9730 | Eligible for Instant Ink | 6C3Z5LN",Add to cart,4.6,885.0,10000.0,135.0,,Organic,0,0
"Samsung 990 PRO SSD NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",Add to cart,4.7,14168.0,10000.0,149.99,199.99,Organic,0,0
"Fitbit Inspire 3 Health &-Fitness-Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)",Add to cart,4.3,20039.0,10000.0,79.95,99.95,Organic,0,1
"Texas Instruments TI-84 Plus Graphics Calculator, Black 320 x 240 pixels (2.8"" diagonal)",Add to cart,4.7,18748.0,10000.0,103.99,,Organic,0,0
"HP Original 952 Cyan, Magenta, Yellow / 952XL Black Ink Cartridges (4-Pack) | Works OfficeJet 8702 OfficeJet Pro 7700, 8210, 8700 Series | Eligible for Instant Ink | N9K28AN",Add to cart,4.6,2617.0,10000.0,166.62,,Organic,0,0
"myQ Smart Garage Security Camera – 1080p HD Video, Night Vision, Motion Detection, Magnetic, Wi-Fi, Two-Way Audio, Smartphone Control",Add to cart,4.2,5284.0,2000.0,29.22,49.99,Sponsored,0,0
Amazon Basics 8-Sheet Cross Cut Paper Shredder and Credit Card Shredder - Black,Add to cart,4.4,64543.0,30000.0,30.58,33.99,Organic,0,1
"Anker USB C Charger(Nano II 65W), PPS 3-Port Fast Compact Foldable Wall Charger for MacBook Pro/Air, iPad Pro, Galaxy S20, Dell XPS 13, Note 20/10+, iPhone 16/16 Pro, Steam Deck, and More",Add to cart,4.6,17279.0,10000.0,25.99,39.99,Organic,0,0
"HP DeskJet 2855e Wireless All-in-One Color Inkjet Printer, Scanner, Copier, Best-for-home, 3 months of Instant Ink included, Single-band Wi-Fi connectivity (588S5A)",Add to cart,3.9,11214.0,20000.0,59.99,89.99,Organic,0,1
"Sceptre New 27-inch Gaming Monitor 100Hz 1ms DisplayPort HDMI x2 100% sRGB AMD FreeSync Build-in Speakers, Eye Care Frameless Machine Black 2024 (E275W-FW100T)",Add to cart,4.4,7091.0,10000.0,97.97,119.97,Organic,0,1
"HP 63 Black Ink Cartridge for HP Printers | Works with Printer Series: DeskJet 1112, 2130, 3630; ENVY 4510, 4520; OfficeJet 3830, 4650, 5200 | Eligible for Instant Ink | F6U62AN",Add to cart,4.7,94058.0,30000.0,30.99,35.64,Organic,0,0
"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, Black",Add to cart,4.6,51663.0,10000.0,22.99,24.58,Organic,0,0
"Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video, Clear Audio, HD Light Correction, PC Camera Webcam, Works with Skype, Zoom, Facetime, PC, Laptop, Mac, Tablet - Black",Add to cart,4.6,20903.0,10000.0,59.99,69.99,Organic,0,0
"Canon PG-275 / CL-276 Genuine Ink Value Pack (2 Cartridges), Compatible with TS3520/3522/4722/3720/3722, TR4720",Add to cart,4.6,18811.0,20000.0,34.99,39.99,Organic,0,0
"Samsung Galaxy Buds 3 Pro AI True Wireless Bluetooth Earbuds, Noise Cancelling, Sound Optimization, Redesigned Comfort Fit, Silver [US Version, Amazon Exclusive, 2Yr Warranty]",Add to cart,4.2,3209.0,10000.0,189.99,249.99,Organic,0,0
"LISEN Retractable Car Charger, 69W USB C Car Accessories Adapter for iPhone 16 USB C Charger Fast Charging,Gifts for Women Men, Travel Essentials, Truck Accessories, for iPhone 16 Pro Max 15 14 13 12",Add to cart,4.6,10222.0,10000.0,16.99,27.99,Organic,0,1
"Amazon Basics Stapler with 1000 Staples, Office Stapler, 25 Sheet Capacity, Non-Slip, Black",Add to cart,4.6,52607.0,50000.0,5.65,6.29,Organic,0,1
"Epson EcoTank ET-2800 Wireless Color All-in-One Cartridge-Free Supertank Printer with Scan and Copy â€“ The Ideal Basic Home Printer - Black, Medium",Add to cart,4.2,13855.0,7000.0,189.99,239.99,Organic,0,1
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",Add to cart,4.1,3818.0,10000.0,172.2,229.99,Organic,0,0
"DJI Mic Mini (2 TX + 1 RX + Charging Case), Wireless Lavalier Microphone for iPhone/Camera/Android, Ultralight, Detail-Rich Audio, 48h Use, Noise Cancelling, Automatic Limiting, Vlog, Streaming",Add to cart,4.7,4657.0,10000.0,139.5,169.0,Organic,0,1
"Scotch Heavy Duty Shipping Packing Tape, Clear, Shipping and Packaging Supplies, 1.88 in. x 54.6 yd., 6 Tape Rolls",Add to cart,4.8,15868.0,30000.0,16.98,32.29,Organic,0,0
"SanDisk 256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA",Add to cart,4.8,126587.0,10000.0,24.99,34.99,Organic,0,0
